AFST,201,1,1737,Worgs D,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,F21,       
AFST,201,1,1737,Worgs D,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,F21,       
AFST,201,101,1739,Fisher C,LET NOBODY TURN US AROUND:AFR.-AM.ANTH.,MARABLE,2ND 09,9780742560574,RQ,F21,       
AFST,201,101,1739,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,F21,       
AFST,201,101,1739,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,F21,       
AFST,201,101,1739,Fisher C,WHEN+WHERE I ENTER,GIDDINGS,84,9780688146504,RQ,F21,       
AFST,201,101,1739,Fisher C,WHEN AND WHERE I ENTER,PAULA J. GIDDI,0,9780061984921,OP,F21,       
AFST,201,2,1738,Fisher C,LET NOBODY TURN US AROUND:AFR.-AM.ANTH.,MARABLE,2ND 09,9780742560574,RQ,F21,       
AFST,201,2,1738,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,F21,       
AFST,201,2,1738,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,F21,       
AFST,201,2,1738,Fisher C,WHEN+WHERE I ENTER,GIDDINGS,84,9780688146504,RQ,F21,       
AFST,201,2,1738,Fisher C,WHEN AND WHERE I ENTER,PAULA J. GIDDI,0,9780061984921,OP,F21,       
AFST,201,2,4396,Fisher C,WHEN+WHERE I ENTER,GIDDINGS,84,9780688146504,RQ,S22,       
AFST,201,2,4396,Fisher C,WHEN AND WHERE I ENTER,PAULA J. GIDDI,0,9780061984921,OP,S22,       
AFST,201,2,4396,Fisher C,LET NOBODY TURN US AROUND:AFR.-AM.ANTH.,MARABLE,2ND 09,9780742560574,RQ,S22,       
AFST,201,2,4396,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,S22,       
AFST,201,2,4396,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,S22,       
AFST,201,3,5275,Fisher C,WHEN+WHERE I ENTER,GIDDINGS,84,9780688146504,RQ,S22,       
